fighter_name,bonus_type,event_name,event_date
Shi Ming,PERF,UFC Fight Night: Yan vs. Figueiredo,
Jon Jones,PERF,UFC 309: Jones vs. Miocic,
Charles Oliveira,FIGHT,UFC 309: Jones vs. Miocic,
Michael Chandler,FIGHT,UFC 309: Jones vs. Miocic,
Ramiz Brahimaj,PERF,UFC 309: Jones vs. Miocic,
Oban Elliott,PERF,UFC 309: Jones vs. Miocic,
Carlos Prates,PERF,UFC Fight Night: Magny vs. Prates,
Mansur Abdul-Malik,PERF,UFC Fight Night: Magny vs. Prates,
Charles Radtke,PERF,UFC Fight Night: Magny vs. Prates,
Da'Mon Blackshear,PERF,UFC Fight Night: Magny vs. Prates,
Jasmine Jasudavicius,PERF,UFC Fight Night: Moreno vs. Albazi,
Dustin Stoltzfus,PERF,UFC Fight Night: Moreno vs. Albazi,
Charles Jourdain,PERF,UFC Fight Night: Moreno vs. Albazi,
Youssef Zalal,PERF,UFC Fight Night: Moreno vs. Albazi,
Ilia Topuria,PERF,UFC 308: Topuria vs. Holloway,
Khamzat Chimaev,PERF,UFC 308: Topuria vs. Holloway,
Shara Magomedov,PERF,UFC 308: Topuria vs. Holloway,
Mateusz Rebecki,FIGHT,UFC 308: Topuria vs. Holloway,
Myktybek Orolbai,FIGHT,UFC 308: Topuria vs. Holloway,
Anthony Hernandez,PERF,UFC Fight Night: Hernandez vs. Pereira,
Darren Elkins,FIGHT,UFC Fight Night: Hernandez vs. Pereira,
Daniel Pineda,FIGHT,UFC Fight Night: Hernandez vs. Pereira,
Brandon Royval,FIGHT,UFC Fight Night: Royval vs. Taira,
Tatsuro Taira,FIGHT,UFC Fight Night: Royval vs. Taira,
Ramazan Temirov,PERF,UFC Fight Night: Royval vs. Taira,
Clayton Carpenter,PERF,UFC Fight Night: Royval vs. Taira,
Alex Pereira,FIGHT,UFC 307: Pereira vs. Rountree Jr.,
Khalil Rountree Jr.,FIGHT,UFC 307: Pereira vs. Rountree Jr.,
Joaquin Buckley,PERF,UFC 307: Pereira vs. Rountree Jr.,
Ryan Spann,PERF,UFC 307: Pereira vs. Rountree Jr.,
Bryan Battle,PERF,UFC Fight Night: Moicano vs. Saint Denis,
Morgan Charriere,PERF,UFC Fight Night: Moicano vs. Saint Denis,
Fares Ziam,PERF,UFC Fight Night: Moicano vs. Saint Denis,
Chris Duncan,PERF,UFC Fight Night: Moicano vs. Saint Denis,
Esteban Ribovics,FIGHT,UFC 306: Riyadh Season Noche UFC,
Daniel Zellhuber,FIGHT,UFC 306: Riyadh Season Noche UFC,
Ignacio Bahamondes,PERF,UFC 306: Riyadh Season Noche UFC,
Ketlen Souza,PERF,UFC 306: Riyadh Season Noche UFC,
Natalia Silva,FIGHT,UFC Fight Night: Burns vs. Brady,
Jessica Andrade,FIGHT,UFC Fight Night: Burns vs. Brady,
Steve Garcia,PERF,UFC Fight Night: Burns vs. Brady,
Cody Durden,PERF,UFC Fight Night: Burns vs. Brady,
Caio Borralho,FIGHT,UFC Fight Night: Cannonier vs. Borralho,
Jared Cannonier,FIGHT,UFC Fight Night: Cannonier vs. Borralho,
Michael Morales,PERF,UFC Fight Night: Cannonier vs. Borralho,
Gerald Meerschaert,PERF,UFC Fight Night: Cannonier vs. Borralho,
Kai Kara-France,PERF,UFC 305: Du Plessis vs. Adesanya,
Dan Hooker,FIGHT,UFC 305: Du Plessis vs. Adesanya,
Mateusz Gamrot,FIGHT,UFC 305: Du Plessis vs. Adesanya,
Carlos Prates,PERF,UFC 305: Du Plessis vs. Adesanya,
Serghei Spivac,PERF,UFC Fight Night: Tybura vs. Spivac 2,
Toshiomi Kazama,PERF,UFC Fight Night: Tybura vs. Spivac 2,
Youssef Zalal,PERF,UFC Fight Night: Tybura vs. Spivac 2,
Shara Magomedov,FIGHT,UFC Fight Night: Sandhagen vs. Nurmagomedov,
Michal Oleksiejczuk,FIGHT,UFC Fight Night: Sandhagen vs. Nurmagomedov,
Joel Alvarez,PERF,UFC Fight Night: Sandhagen vs. Nurmagomedov,
Azamat Murzakanov,PERF,UFC Fight Night: Sandhagen vs. Nurmagomedov,
Tom Aspinall,PERF,UFC 304: Edwards vs. Muhammad 2,
Paddy Pimblett,PERF,UFC 304: Edwards vs. Muhammad 2,
Mick Parkin,PERF,UFC 304: Edwards vs. Muhammad 2,
Virna Jandiroba,PERF,UFC Fight Night: Lemos vs. Jandiroba,
Steve Garcia,PERF,UFC Fight Night: Lemos vs. Jandiroba,
Bruno Silva,PERF,UFC Fight Night: Lemos vs. Jandiroba,
Hyder Amil,PERF,UFC Fight Night: Lemos vs. Jandiroba,
Jean Silva,FIGHT,UFC Fight Night: Namajunas vs. Cortez,
Drew Dober,FIGHT,UFC Fight Night: Namajunas vs. Cortez,
Charles Johnson,PERF,UFC Fight Night: Namajunas vs. Cortez,
Montel Jackson,PERF,UFC Fight Night: Namajunas vs. Cortez,
Alex Pereira,PERF,UFC 303: Pereira vs. Prochazka 2,
Macy Chiasson,PERF,UFC 303: Pereira vs. Prochazka 2,
Joe Pyfer,PERF,UFC 303: Pereira vs. Prochazka 2,
Andre Fili,FIGHT,UFC 303: Pereira vs. Prochazka 2,
Cub Swanson,FIGHT,UFC 303: Pereira vs. Prochazka 2,
Payton Talbott,PERF,UFC 303: Pereira vs. Prochazka 2,
Robert Whittaker,PERF,UFC Fight Night: Whittaker vs. Aliskerov,
Shara Magomedov,PERF,UFC Fight Night: Whittaker vs. Aliskerov,
Volkan Oezdemir,PERF,UFC Fight Night: Whittaker vs. Aliskerov,
Felipe Lima,PERF,UFC Fight Night: Whittaker vs. Aliskerov,
Tatsuro Taira,PERF,UFC Fight Night: Perez vs. Taira,
Brady Hiestand,PERF,UFC Fight Night: Perez vs. Taira,
Gabriella Fernandes,FIGHT,UFC Fight Night: Perez vs. Taira,
Carli Judice,FIGHT,UFC Fight Night: Perez vs. Taira,
Raul Rosas Jr.,PERF,UFC Fight Night: Cannonier vs. Imavov,
Brunno Ferreira,PERF,UFC Fight Night: Cannonier vs. Imavov,
Zach Reese,PERF,UFC Fight Night: Cannonier vs. Imavov,
Carlos Prates,PERF,UFC Fight Night: Cannonier vs. Imavov,
Islam Makhachev,FIGHT,UFC 302: Makhachev vs. Poirier,
Dustin Poirier,FIGHT,UFC 302: Makhachev vs. Poirier,
Islam Makhachev,PERF,UFC 302: Makhachev vs. Poirier,
Kevin Holland,PERF,UFC 302: Makhachev vs. Poirier,
Lerone Murphy,FIGHT,UFC Fight Night: Barboza vs. Murphy,
Edson Barboza,FIGHT,UFC Fight Night: Barboza vs. Murphy,
Khaos Williams,PERF,UFC Fight Night: Barboza vs. Murphy,
Angela Hill,PERF,UFC Fight Night: Barboza vs. Murphy,
Carlos Ulberg,PERF,UFC Fight Night: Lewis vs. Nascimento,
Diego Ferreira,PERF,UFC Fight Night: Lewis vs. Nascimento,
Trey Waters,FIGHT,UFC Fight Night: Lewis vs. Nascimento,
Billy Ray Goff,FIGHT,UFC Fight Night: Lewis vs. Nascimento,
Michel Pereira,PERF,UFC 301: Pantoja vs. Erceg,
Caio Borralho,PERF,UFC 301: Pantoja vs. Erceg,
Mauricio Ruffy,PERF,UFC 301: Pantoja vs. Erceg,
Alessandro Costa,PERF,UFC 301: Pantoja vs. Erceg,
Alex Perez,PERF,UFC Fight Night: Nicolau vs. Perez,
Bogdan Guskov,PERF,UFC Fight Night: Nicolau vs. Perez,
Jhonata Diniz,PERF,UFC Fight Night: Nicolau vs. Perez,
Uros Medic,PERF,UFC Fight Night: Nicolau vs. Perez,
Max Holloway,FIGHT,UFC 300: Pereira vs. Hill,
Justin Gaethje,FIGHT,UFC 300: Pereira vs. Hill,
Max Holloway,PERF,UFC 300: Pereira vs. Hill,
Jiri Prochazka,PERF,UFC 300: Pereira vs. Hill,
Chepe Mariscal,FIGHT,UFC Fight Night: Allen vs. Curtis 2,
Morgan Charriere,FIGHT,UFC Fight Night: Allen vs. Curtis 2,
Ignacio Bahamondes,PERF,UFC Fight Night: Allen vs. Curtis 2,
Cesar Almeida,PERF,UFC Fight Night: Allen vs. Curtis 2,
Nate Landwehr,PERF,UFC Fight Night: Blanchfield vs. Fiorot,
Dennis Buzukja,PERF,UFC Fight Night: Blanchfield vs. Fiorot,
Ibo Aslan,FIGHT,UFC Fight Night: Blanchfield vs. Fiorot,
Anton Turkalj,FIGHT,UFC Fight Night: Blanchfield vs. Fiorot,
Payton Talbott,PERF,UFC Fight Night: Ribas vs. Namajunas,
Fernando Padilla,PERF,UFC Fight Night: Ribas vs. Namajunas,
Jarno Errens,FIGHT,UFC Fight Night: Ribas vs. Namajunas,
Steven Nguyen,FIGHT,UFC Fight Night: Ribas vs. Namajunas,
Marcin Tybura,PERF,UFC Fight Night: Tuivasa vs. Tybura,
Macy Chiasson,PERF,UFC Fight Night: Tuivasa vs. Tybura,
Jafel Filho,PERF,UFC Fight Night: Tuivasa vs. Tybura,
Jaqueline Amorim,PERF,UFC Fight Night: Tuivasa vs. Tybura,
Sean O'Malley,PERF,UFC 299: O'Malley vs. Vera 2,
Dustin Poirier,FIGHT,UFC 299: O'Malley vs. Vera 2,
Benoit Saint Denis,FIGHT,UFC 299: O'Malley vs. Vera 2,
Jack Della Maddalena,PERF,UFC 299: O'Malley vs. Vera 2,
Curtis Blaydes,PERF,UFC 299: O'Malley vs. Vera 2,
Michel Pereira,PERF,UFC 299: O'Malley vs. Vera 2,
Robelis Despaigne,PERF,UFC 299: O'Malley vs. Vera 2,
Steve Erceg,PERF,UFC Fight Night: Rozenstruik vs. Gaziev,
Vinicius Oliveira,FIGHT,UFC Fight Night: Rozenstruik vs. Gaziev,
Benardo Sopaj,FIGHT,UFC Fight Night: Rozenstruik vs. Gaziev,
Vinicius Oliveira,PERF,UFC Fight Night: Rozenstruik vs. Gaziev,
Brian Ortega,PERF,UFC Fight Night: Moreno vs. Royval 2,
Daniel Zellhuber,FIGHT,UFC Fight Night: Moreno vs. Royval 2,
Francisco Prado,FIGHT,UFC Fight Night: Moreno vs. Royval 2,
